participant_name,ev,market,line,game,date
Zach Collins,7.799999999999997,player_rebounds_over_under,4.5,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_rebounds_over_under.json,2024-01-26
Gary Trent Jr.,7.799999999999997,player_rebounds_over_under,2.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_rebounds_over_under.json,2024-01-26
Jusuf Nurkic,7.740000000000002,player_assists_over_under,3.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_assists_over_under.json,2024-01-26
Paul George,7.579999999999998,player_rebounds_over_under,4.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_rebounds_over_under.json,2024-01-26
Bennedict Mathurin,7.520000000000003,player_blocks_steals_over_under,0.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_blocks_steals_over_under.json,2024-01-26
Isaac Okoro,7.520000000000003,player_assists_rebounds_over_under,4.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_assists_rebounds_over_under.json,2024-01-26
Paolo Banchero,7.520000000000003,player_assists_rebounds_over_under,11.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_rebounds_over_under.json,2024-01-26
Dean Wade,7.520000000000003,player_rebounds_over_under,4.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_rebounds_over_under.json,2024-01-26
Vince Williams Jr.,7.520000000000003,player_assists_points_over_under,16.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_points_over_under.json,2024-01-26
Dante Exum,7.520000000000003,player_assists_points_over_under,11.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_assists_points_over_under.json,2024-01-26
Jordan Hawkins,7.520000000000003,player_assists_points_over_under,11.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_points_over_under.json,2024-01-26
Paul George,7.520000000000003,player_assists_points_over_under,21.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_assists_points_over_under.json,2024-01-26
Jontay Porter,7.520000000000003,player_steals_over_under,0.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_steals_over_under.json,2024-01-26
Miles Bridges,7.460000000000001,player_threes_over_under,2.5,fantasy__2024-01-26__b9f8409d6b736501d3a13c02b49d75bd__player_threes_over_under.json,2024-01-26
Markelle Fultz,7.399999999999999,player_points_over_under,10.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_points_over_under.json,2024-01-26
Bogdan Bogdanovic,7.390000000000001,player_threes_over_under,2.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_threes_over_under.json,2024-01-26
Kawhi Leonard,7.299999999999997,player_rebounds_over_under,6.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_rebounds_over_under.json,2024-01-26
Bradley Beal,7.260000000000002,player_assists_over_under,4.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_assists_over_under.json,2024-01-26
Brandon Ingram,7.210000000000001,player_assists_rebounds_over_under,11.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_rebounds_over_under.json,2024-01-26
