participant_name,ev,market,line,type,game,date,over_odds,under_odds
Kyle Lowry,32.25,player_rebounds_over_under,2.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_rebounds_over_under.json,2024-01-21,425.0,-750.0
Joe Ingles,32.25,player_steals_over_under,0.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_steals_over_under.json,2024-01-21,425.0,-750.0
Bilal Coulibaly,29.310000000000002,player_steals_over_under,0.5,under,fantasy__2024-01-21__611279634cb287cb5257d2c91b04b316__player_steals_over_under.json,2024-01-21,350.0,-575.0
Christian Braun,28.319999999999993,player_assists_points_rebounds_over_under,10.5,under,fantasy__2024-01-21__611279634cb287cb5257d2c91b04b316__player_assists_points_rebounds_over_under.json,2024-01-21,330.0,-525.0
Sam Hauser,27.209999999999994,player_points_rebounds_over_under,16.5,under,fantasy__2024-01-21__2198a6a26216e034d141efe88923b9d4__player_points_rebounds_over_under.json,2024-01-21,310.0,-475.0
Nikola Jovic,26.599999999999994,player_rebounds_over_under,2.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_rebounds_over_under.json,2024-01-21,300.0,-450.0
Buddy Hield,23.674999999999997,player_assists_over_under,3.5,under,fantasy__2024-01-21__fd4d460e2692fd55e49ce3811ff3110e__player_assists_over_under.json,2024-01-21,369.0,-693.0
Paolo Banchero,22.745,player_blocks_over_under,0.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_blocks_over_under.json,2024-01-21,527.5,-2069.5
Russell Westbrook,20.760000000000005,player_threes_over_under,0.5,under,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_threes_over_under.json,2024-01-21,220.0,-310.0
Jabari Walker,18.475,player_rebounds_over_under,7.5,under,fantasy__2024-01-21__43d2320b0bcc62b1b6b9d8fd51a5087a__player_rebounds_over_under.json,2024-01-21,287.5,-466.5
Daniel Gafford,17.964999999999996,player_blocks_over_under,1.5,under,fantasy__2024-01-21__611279634cb287cb5257d2c91b04b316__player_blocks_over_under.json,2024-01-21,218.0,-608.5
Payton Pritchard,17.7,player_assists_points_rebounds_over_under,15.5,under,fantasy__2024-01-21__2198a6a26216e034d141efe88923b9d4__player_assists_points_rebounds_over_under.json,2024-01-21,247.5,-395.0
Bradley Beal,16.975,player_rebounds_over_under,4.5,under,fantasy__2024-01-21__fd4d460e2692fd55e49ce3811ff3110e__player_rebounds_over_under.json,2024-01-21,148.5,-390.0
Kyle Lowry,16.540000000000006,player_assists_rebounds_over_under,5.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_assists_rebounds_over_under.json,2024-01-21,180.0,-245.0
Jerami Grant,16.540000000000006,player_assists_over_under,2.5,under,fantasy__2024-01-21__43d2320b0bcc62b1b6b9d8fd51a5087a__player_assists_over_under.json,2024-01-21,180.0,-245.0
Austin Reaves,16.129999999999995,player_rebounds_over_under,3.5,over,fantasy__2024-01-21__43d2320b0bcc62b1b6b9d8fd51a5087a__player_rebounds_over_under.json,2024-01-21,-245.0,175.0
Kevin Durant,16.0,player_rebounds_over_under,6.5,over,fantasy__2024-01-21__fd4d460e2692fd55e49ce3811ff3110e__player_rebounds_over_under.json,2024-01-21,-240.0,175.0
